kba |t0| |t1| |t2| |t3| |t4|
5.000000e-02 9.997721e-01 2.444419e-01 9.811369e-04 3.066679e-07 3.194795e-11
5.708155e-02 9.996642e-01 2.545292e-01 1.278496e-03 5.208539e-07 7.072225e-11
6.416309e-02 9.995288e-01 2.641107e-01 1.615051e-03 8.314028e-07 1.426418e-10
7.124464e-02 9.993638e-01 2.732797e-01 1.990753e-03 1.263598e-06 2.672982e-10
7.832618e-02 9.991671e-01 2.821050e-01 2.405545e-03 1.845655e-06 4.719186e-10
8.540773e-02 9.989371e-01 2.906391e-01 2.859369e-03 2.608712e-06 7.931318e-10
9.248927e-02 9.986721e-01 2.989227e-01 3.352159e-03 3.586825e-06 1.278916e-09
9.957082e-02 9.983707e-01 3.069885e-01 3.883843e-03 4.816957e-06 1.990730e-09
1.066524e-01 9.980314e-01 3.148626e-01 4.454346e-03 6.338968e-06 3.005823e-09
1.137339e-01 9.976532e-01 3.225667e-01 5.063585e-03 8.195602e-06 4.419727e-09
1.208155e-01 9.972350e-01 3.301186e-01 5.711476e-03 1.043248e-05 6.348925e-09
1.278970e-01 9.967756e-01 3.375336e-01 6.397927e-03 1.309809e-05 8.933704e-09
1.349785e-01 9.962743e-01 3.448243e-01 7.122843e-03 1.624377e-05 1.234118e-08
1.420601e-01 9.957301e-01 3.520018e-01 7.886122e-03 1.992367e-05 1.676848e-08
1.491416e-01 9.951424e-01 3.590754e-01 8.687660e-03 2.419480e-05 2.244617e-08
1.562232e-01 9.945105e-01 3.660534e-01 9.527346e-03 2.911694e-05 2.964176e-08
1.633047e-01 9.938337e-01 3.729428e-01 1.040507e-02 3.475267e-05 3.866342e-08
1.703863e-01 9.931114e-01 3.797500e-01 1.132071e-02 4.116735e-05 4.986393e-08
1.774678e-01 9.923431e-01 3.864804e-01 1.227414e-02 4.842908e-05 6.364469e-08
1.845494e-01 9.915284e-01 3.931389e-01 1.326523e-02 5.660869e-05 8.045999e-08
1.916309e-01 9.906669e-01 3.997299e-01 1.429387e-02 6.577972e-05 1.008214e-07
1.987124e-01 9.897580e-01 4.062572e-01 1.535990e-02 7.601841e-05 1.253022e-07
2.057940e-01 9.888015e-01 4.127242e-01 1.646320e-02 8.740365e-05 1.545425e-07
2.128755e-01 9.877971e-01 4.191341e-01 1.760362e-02 1.000170e-04 1.892537e-07
2.199571e-01 9.867444e-01 4.254897e-01 1.878101e-02 1.139426e-04 2.302236e-07
2.270386e-01 9.856432e-01 4.317934e-01 1.999523e-02 1.292672e-04 2.783219e-07
2.341202e-01 9.844933e-01 4.380476e-01 2.124611e-02 1.460802e-04 3.345054e-07
2.412017e-01 9.832944e-01 4.442541e-01 2.253351e-02 1.644734e-04 3.998234e-07
2.482833e-01 9.820464e-01 4.504150e-01 2.385727e-02 1.845412e-04 4.754233e-07
2.553648e-01 9.807491e-01 4.565319e-01 2.521722e-02 2.063804e-04 5.625570e-07
2.624464e-01 9.794023e-01 4.626063e-01 2.661319e-02 2.300904e-04 6.625861e-07
2.695279e-01 9.780059e-01 4.686395e-01 2.804502e-02 2.557729e-04 7.769886e-07
2.766094e-01 9.765598e-01 4.746329e-01 2.951253e-02 2.835320e-04 9.073647e-07
2.836910e-01 9.750639e-01 4.805876e-01 3.101555e-02 3.134742e-04 1.055444e-06
2.907725e-01 9.735182e-01 4.865046e-01 3.255390e-02 3.457083e-04 1.223090e-06
2.978541e-01 9.719225e-01 4.923849e-01 3.412740e-02 3.803454e-04 1.412310e-06
3.049356e-01 9.702768e-01 4.982293e-01 3.573587e-02 4.174988e-04 1.625259e-06
3.120172e-01 9.685811e-01 5.040386e-01 3.737912e-02 4.572841e-04 1.864248e-06
3.190987e-01 9.668354e-01 5.098136e-01 3.905695e-02 4.998191e-04 2.131752e-06
3.261803e-01 9.650396e-01 5.155549e-01 4.076919e-02 5.452236e-04 2.430414e-06
3.332618e-01 9.631937e-01 5.212630e-01 4.251564e-02 5.936195e-04 2.763056e-06
3.403433e-01 9.612978e-01 5.269385e-01 4.429610e-02 6.451310e-04 3.132683e-06
3.474249e-01 9.593518e-01 5.325820e-01 4.611037e-02 6.998840e-04 3.542493e-06
3.545064e-01 9.573559e-01 5.381937e-01 4.795826e-02 7.580066e-04 3.995886e-06
3.615880e-01 9.553099e-01 5.437742e-01 4.983956e-02 8.196287e-04 4.496467e-06
3.686695e-01 9.532140e-01 5.493237e-01 5.175407e-02 8.848823e-04 5.048057e-06
3.757511e-01 9.510683e-01 5.548427e-01 5.370158e-02 9.539009e-04 5.654702e-06
3.828326e-01 9.488727e-01 5.603313e-01 5.568188e-02 1.026820e-03 6.320679e-06
3.899142e-01 9.466274e-01 5.657899e-01 5.769477e-02 1.103777e-03 7.050503e-06
3.969957e-01 9.443324e-01 5.712186e-01 5.974003e-02 1.184911e-03 7.848940e-06
4.040773e-01 9.419878e-01 5.766177e-01 6.181745e-02 1.270362e-03 8.721010e-06
4.111588e-01 9.395936e-01 5.819873e-01 6.392682e-02 1.360273e-03 9.672000e-06
4.182403e-01 9.371501e-01 5.873275e-01 6.606791e-02 1.454787e-03 1.070747e-05
4.253219e-01 9.346573e-01 5.926386e-01 6.824051e-02 1.554050e-03 1.183326e-05
4.324034e-01 9.321152e-01 5.979206e-01 7.044439e-02 1.658208e-03 1.305549e-05
