w_norm abs_rho re_rho im_rho abs_S re_S im_S phase_rho_pi phase_S_pi 
0.550000 1.859188e+00 1.858880e+00 3.386265e-02 1.000000e+00 9.997307e-01 2.320515e-02 0.005798 0.007387
0.551001 1.860541e+00 1.860230e+00 3.403138e-02 1.000928e+00 1.000656e+00 2.332078e-02 0.005823 0.007417
0.552002 1.861901e+00 1.861587e+00 3.420121e-02 1.001860e+00 1.001586e+00 2.343715e-02 0.005847 0.007447
0.553003 1.863268e+00 1.862951e+00 3.437213e-02 1.002797e+00 1.002520e+00 2.355429e-02 0.005872 0.007477
0.554004 1.864641e+00 1.864321e+00 3.454417e-02 1.003738e+00 1.003459e+00 2.367218e-02 0.005897 0.007508
0.555005 1.866021e+00 1.865698e+00 3.471734e-02 1.004685e+00 1.004403e+00 2.379085e-02 0.005923 0.007538
0.556006 1.867408e+00 1.867082e+00 3.489164e-02 1.005636e+00 1.005351e+00 2.391029e-02 0.005948 0.007569
0.557007 1.868802e+00 1.868473e+00 3.506708e-02 1.006591e+00 1.006305e+00 2.403051e-02 0.005973 0.007600
0.558008 1.870203e+00 1.869871e+00 3.524367e-02 1.007552e+00 1.007263e+00 2.415153e-02 0.005999 0.007631
0.559009 1.871611e+00 1.871276e+00 3.542144e-02 1.008517e+00 1.008225e+00 2.427335e-02 0.006025 0.007662
0.560010 1.873026e+00 1.872688e+00 3.560037e-02 1.009488e+00 1.009193e+00 2.439597e-02 0.006050 0.007693
0.561011 1.874448e+00 1.874107e+00 3.578050e-02 1.010463e+00 1.010165e+00 2.451940e-02 0.006076 0.007725
0.562012 1.875878e+00 1.875533e+00 3.596182e-02 1.011443e+00 1.011143e+00 2.464365e-02 0.006103 0.007756
0.563013 1.877315e+00 1.876967e+00 3.614435e-02 1.012428e+00 1.012125e+00 2.476874e-02 0.006129 0.007788
0.564014 1.878758e+00 1.878407e+00 3.632810e-02 1.013418e+00 1.013112e+00 2.489466e-02 0.006155 0.007820
0.565015 1.880210e+00 1.879855e+00 3.651308e-02 1.014413e+00 1.014104e+00 2.502142e-02 0.006182 0.007852
0.566016 1.881668e+00 1.881310e+00 3.669930e-02 1.015413e+00 1.015102e+00 2.514903e-02 0.006209 0.007884
0.567017 1.883134e+00 1.882773e+00 3.688677e-02 1.016418e+00 1.016104e+00 2.527750e-02 0.006235 0.007917
